苝	buaı̀	
𢂏	pad̀	
𣬪	pad̀	
㸬	pad̀	
背	buaı̀	5̄%
背	puaı̀	
𤰇	bıı̀	
俻	bıı̀	
倍	baı́	
狽	pad̀	
悖	buaı̀	1̄%
悖	buon̍	
被	bıè	
被	bıé	
鄁	buaı̀	
𤰈	bıı̀	
偝	buaı̀	
琲	buaı́	
備	bıı̀	
焙	buaı̀	
蓓	baı́	
碚	baı́	
㻗	buaı̀	
𢞎	braı̀	
𢞎	bré	
𢟡	braı̀	
𢟡	bré	
㣁	bıı̀	
𣖾	bıı̀	
䟺	bad̀	
䟺	pad̀	
骳	mıé	
犕	bıı̀	
㸢	bıı̀	
誖	buaı̀	
誖	buon̍	
誖	puaı̀	
褙	puaı̀	
𢠜	buon̍	
輩	puaı̀	
鋇	pad̀	
䰽	pad̀	
𤸶	braı̀	
憊	braı̀	
糒	bıı̀	
鞴	bıı̀	
鞴	bıuŋ̍	
鞴	bò	
㶔	braı̀	
鐾	bè	
鐾	bȷè	
唄	brad̀	
唄	pad̀	
奔	puon̄	
奔	puoǹ	
逩	puoǹ	
賁	byoı̄	
賁	byon̄	
賁	pıè	
賁	puon̄	
犇	puon̄	
錛	puon̄	
本	puoń	
夲	txaū	
苯	puoń	
㡷	puoń	
畚	puoń	
翉	pxuoń	
𤲙	puoń	
坌	buoǹ	
𣴞	buoǹ	
笨	buoń	
笨	puoń	
㨧	buoń	
伻	prxeŋ̄	
𢆸	preŋ̄	
㔙	praŋ̄	
𦰿	tā	
崩	poŋ̄	
閍	praŋ̄	
䑫	preŋ̄	
絣	preŋ̄	
𦷛	tā	
嘣	poŋ̄	
𥛱	praŋ̄	
繃	preŋ̄	
甭	boŋ̄	
㑟	praŋ́	
埲	buŋ́	
菶	buŋ́	
菶	puŋ́	
𧚭	praŋ́	
琫	puŋ́	
𦂌	pruŋ́	
𦂌	puŋ́	
泵	poŋ̀	
迸	preŋ̀	
𧻓	praŋ̀	
跰	ben̄	
跰	praŋ̀	
𥦜	poŋ̀	
甏	braŋ̀	
蹦	boŋ̀	
鏰	poŋ̀	
䨻	breŋ̀	
皀	xıaŋ̄	
皀	cım̍	
皀	pıŋ̍	
皀	pım̍	
屄	pȷıı̄	
悂	pē	
悂	pȷxıı̄	
偪	pıŋ̍	
偪	pıuŋ̍	
逼	pıŋ̍	
鈚	bȷıı̄	
鈚	pxē	
楅	pıŋ̍	
楅	pıuŋ̍	
㡙	pē	
𥏠	pē	
𨻼	pē	
𨻼	pxē	
䫾	pxen̍	
䫾	pıŋ̍	
豍	pē	
䚜	pē	
鵖	cıem̍	
鵖	pım̍	
鎞	pē	
䮠	pıŋ̍	
柲	ben̍	
柲	bȷın̍	
柲	pıı̀	
柲	pın̍	
荸	buon̍	
鼻	bȷıı̀	
𪌈	bȷē	
𩾳	bım̍	
𩾳	gıem̍	
𩾳	cım̍	
匕	pȷıı́	
比	bȷıı̄	5%
比	bȷıı̀	5%
比	bȷın̍	5%
比	pȷıı̀	5%
比	pȷıı́	
朼	pȷıı́	
吡	bȷın̍	
吡	pȷxé	
𢁦	bıı́	
佊	pıè	
佊	pıé	
疕	pxıı́	
疕	pȷxé	
疕	pȷıı́	
沘	bȷıı̄	
沘	pȷıı́	
妣	pȷıı́	
彼	pıé	
䃾	bȷıı̀	
䃾	pȷıı̀	
䃾	pȷıı́	
柀	pıé	
秕	pȷıı́	
𤽊	pé	
粊	pıı̀	
俾	pȷé	
舭	pȷıı́	
娝	pıı́	
啚	dō	
啚	pıı́	
𢔌	pȷé	
筆	pın̍	
㪏	pè	
㪏	pé	
𠬈	pȷé	
鄙	pıı́	
𦸣	bé	
𦸣	pȷé	
𦸣	pȷıı̀	
魮	bȷıı̄	
㻶	pın̍	
𠐌	pıé	
𨅗	pın̍	
𪐄	brè	
𪐄	pȷé	
必	pȷın̍	
坒	bȷıı̀	
坒	bȷın̍	
𡛗	pıı̀	
佖	bın̍	
佖	bȷın̍	
庇	pȷıı̀	
㡀	bȷed̀	
邲	bın̍	
邲	bȷın̍	
邲	pıı̀	
𨚓	pyon̍	
𠡂	bın̍	
苾	ben̍	
苾	bȷın̍	
畀	pȷıı̀	
畁	gı̄	
畁	gı̀	
𢌿	pȷıı̀	
㘠	pıŋ̍	
怭	bȷın̍	
㢰	bıè	
妼	bȷın̍	
珌	pȷın̍	
毖	pıı̀	
𠈺	bé	
𣢠	bȷın̍	
𢘍	bın̍	
陛	bé	
㙄	bé	
畢	pȷın̍	
䀣	mren̍	
䀣	pıı̀	
䄶	bın̍	
䄶	buon̍	
狴	pē	
㢸	bın̍	
萆	bȷeŋ̍	
萆	sı́	
𦱔	pē	
梐	bé	
梐	pē	
䉾	pıı̀	
閉	pè	
閉	pen̍	5%
閇	pè	
䖩	bȷın̍	
𤙞	bé	
庳	bȷé	
敝	bȷed̀	
婢	bȷé	
堛	pxıŋ̍	
𨠔	bȷın̍	
皕	pıŋ̍	
貱	pıè	
𣮐	bȷeŋ̍	
詖	pıē	
詖	pıè	
㓖	pȷın̍	
湢	pıŋ̍	
愊	pxıŋ̍	
愎	bıŋ̍	
弼	bın̍	
𢐀	bın̍	
蓽	pȷın̍	
